Date Reported,Time Committed,Weather Conditions ,Barangay/Location,Type of Place,VTA Category ,Victim Killed,Victim Injured,Victim Unharmed,"Main Cause (e.g. Human, Vehicle, Infrastructure, Environmental)",Details of Main Cause (e.g.  Human-Intoxication),Case Status,Road Conditions 
1/1/2016,9:25:00 PM,rainy,PADRE BURGOS,Parking Area ,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Inattention,SOLVED (AMICABLY SETTLED),wet
1/1/2016,2:30:00 AM,clear,DIZON SUBDIVISION,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Illegal Overtaking,SOLVED (AMICABLY SETTLED),dry
1/1/2016,4:30:00 AM,foggy,PINGET,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),damp
1/1/2016,12:30:00 PM,foggy,MINES VIEW PARK,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Illegal Overtaking,SOLVED (AMICABLY SETTLED),damp
2/1/2016,6:20:00 PM,rainy,SAN LUIS VILLAGE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),wet
2/1/2016,11:00:00 AM,clear,QUEZON HILL PROPER,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),dry
2/1/2016,8:30:00 AM,foggy,CAMPO FILIPINO,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp
2/1/2016,8:48:00 PM,rainy,BURNHAM-LEGARDA,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),wet
3/1/2016,9:30:00 AM,clear,TRANCOVILLE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Traffic Congestion,SOLVED (AMICABLY SETTLED),dry
3/1/2016,12:10:00 AM,rainy,PADRE BURGOS,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),wet
3/1/2016,9:00:00 AM,rainy,IRISAN,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),wet
3/1/2016,9:30:00 AM,foggy,LOAKAN PROPER,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),damp
3/1/2016,7:15:00 PM,rainy,"MODERN SITE, WEST",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),wet
3/1/2016,6:40:00 PM,clear,AMBIONG,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),dry
3/1/2016,10:50:00 PM,foggy,SAN LUIS VILLAGE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp
